ReqComments,ID,Title,HP Surgeon,Date of HP Surgery,PI,LabTracks Requestor,Procedure,Surgery Status,Project ID,IACUC Protocol,DateRangeStart,DateRangeEnd,Light Cycle,LIMs Required,Lims Project Code,LIMStaskflow,LabTracks Group,MID,Pedigree Name,Cage,Sex,Date of Birth,HP Work Station,HP Weight before,HP Weight after,HP Iso Duration,HP Recovery,HP Iso Level,Headpost Type,HP Location,Bregma to Lambda,HP Perferations,HP M/L,HP A/P,HP Diameter,HP Durotomy,Previously Injected,1st Round Inj Surgeon,Date 1st Round Injections,1st Round Inj Workstation,1st Round Inj Weight Before,1st Round Inj Weight After,1st Round Inj Iso Duration,1st Round Inj Iso Level,1st Inj Recovery,2nd Round Inj Surgeon,Date 2nd Round Injections,2nd Round Workstation,2nd Round Inj Weight Before,2nd Round Inj Weight After,2nd Round Inj Iso Duration,2nd Round Inj Iso Level,2nd Inj REcovery,Inj1Round,Inj1VirusStrain,Inj1StorageLocation,Inj 1 Hemisphere,Inj 1 A/P,Inj 1 M/L,Inj 1 D/V,Inj1Type,Inj1Vol,Inj1LenghtofTime,Inj1Current,Inj1AlternatingTime,Inj2Round,Inj2VirusStrain,Inj2StorageLocation,Inj 2 Hemisphere,Inj 2 A/P,Inj 2 M/L,Inj 2 D/V,Inj2Type,Inj2Vol,Inj2LenghtofTime,Inj2Current,Inj2AlternatingTime,Durotomy,Edema (Swelling),Sinus Bleed,Window Clarity,Contusion,Hematoma,Laceration,During 1st Injection,After 1st Injection,1stRoundIontoIssue,During 2nd Injection,After 2nd Injection,2nd Round Ionto Issue,Touch Up Surgeon,Touch Up Status,Touch Up  Completed,Touch Up Weight After,Issue,Exudate Severity,Eye Affected,Eye Issue,Scabbing,CAM  Health Check Surgeon,CAM Go-NoGo Comments,CAM Go-NoGO ISI,CAM Health Check (7d post op),CAM Health Comments,Wellness Comments,inj1volperdepth,Inj1Volperpress,Inj1VirusStrain_rt,Inj2VirusStrain_rt,1stRoundInjComments,1stRoundInjectionComments,2ndRoundInjComments,2ndRoungInjectionComments,HP Surgeon Comments,HPSurgeonComments,Item Type,Path
"​standard neuropixel surgery with metabond bridges​

",1106,468670HP+C Neuropixel style,Ruweida Ahmed,6/6/2019,Peter Groblewski,Visual Behavior,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,6/3/2019,6/7/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Sst-IRES-Cre;Ai32,468670,Sst-IRES-Cre;Ai32-468670,02-004-59-1805,Female,4/19/2019,SWS 2,19.7,22.2,3,25,1.25,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.466,NA,,,5mm,Select...,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Posterior,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,6/13/2019,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,1154,457231HP+C Neuropixel style,Emily Gelfand,6/17/2019,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,6/17/2019,6/21/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,C57BL6J (VB),457231,C57BL6J (VB),02-004-62-1805,Male,2/23/2019,SWS 4,27.5,30.5,2.5,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Anterior,None,None,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,6/24/2019,,,,,,,,,,,,"​Lacerations 7 o'clock and 5 o'clock from drill. Possible vetbond near right sinus? Couldn't tell, but mouse seemed fine and brain seemed fine.",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"Standard Neuropixel Surgery, no metabone bridges",1165,470005HP+C Neuropixel style,Jackie Swapp,6/18/2019,Peter Groblewski,Visual Behavior,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,6/17/2019,6/21/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Pvalb-IRES-Cre;Ai32(VB),470005,Pvalb-IRES-Cre;Ai32(VB)-470005,02-004-61-1805,Male,4/21/2019,SWS 1,21.2,24.2,1.75,13,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.001,Select if applicable...,2.8,1.3,5mm,Select...,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,6/25/2019,,,,,,,,,,,,​Small amount of drill damage at 2 oclock,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"Standard Neuropixel Surgery, no metabone bridges",1166,471819HP+C Neuropixel style,Kat North,6/18/2019,Peter Groblewski,Visual Behavior,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,6/17/2019,6/21/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Pvalb-IRES-Cre;Ai32(VB),471819,Pvalb-IRES-Cre;Ai32(VB)-471819,02-004-60-1805,Female,5/5/2019,SWS 1,18.1,20.8,2,15,Select...,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.356,Select if applicable...,2.8,1.3,5mm,Select...,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Central,None,Mild,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,6/25/2019,,,,,,,,,,,,"​Mild hematoma at 8 oclock​, otherwise surgery went well

",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
,1191,468525HP+C Neuropixel style,Kat North,6/27/2019,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,6/24/2019,6/28/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,C57BL6J,468525,C57BL6J,02-004-65-1805,Male,4/18/2019,SWS 1,25.2,28.4,2,10,1.75,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.652,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,Moderate,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,7/4/2019,,,,,,,,,,,,"​Moderate hematoma on left third of brain

Otherwise surgery went well
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1215,473248HP+C Neuropixel style,Emily Gelfand,6/24/2019,Peter Groblewski,Visual Behavior,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,6/24/2019,6/28/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Pvalb-IRES-Cre;Ai32,473248,Pvalb-IRES-Cre;Ai32-473248,02-004-63-1805,Male,5/13/2019,SWS 4,20.7,24.2,1.5,15,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.17,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,Mild,Central,None,Mild,Mild,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,7/1/2019,,,,,,,,,,,,"No neuropixel coverslips available so used regular coverslip (checked with Tamina first). Minor drill dmg 2 o'clock, pia dmg 12 o'clock, vein dmg 5 o'clock. Hematoma from 12-2 from pia damage.​",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1216,473254HP+C Neuropixel style,Jennifer Luviano,6/27/2019,Peter Groblewski,Visual Behavior,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,6/24/2019,6/28/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Pvalb-IRES-Cre;Ai32,473254,Pvalb-IRES-Cre;Ai32-473254,02-004-64-1805,Female,5/13/2019,SWS 3,16,18.9,1.5,5,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.261,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,7/4/2019,,,,,,,,,,,,,Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"​More lateral window than standard to see lateral visual areas (e.g. LI, POR)
",1244,471727HP+C Neuropixel style,Jennifer Luviano,7/9/2019,Sam Gale,Sam Gale,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,7/8/2019,7/12/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Ephys Dev Visual Behavior,CB57BL6J,471727,CB57BL6J,02-004-66-1805,Male,5/5/2019,SWS 3,22.1,24.9,1.5,5,2,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,3.822,Select if applicable...,,,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,Mild,None,Lateral,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,7/16/2019,,,,,,,,,,,,"forgot to use the coverslip with silicon gel and kwikcast. Used metabond. sorry! not very coplanar. Really small animal and had flat skull. tried to go as lateral as possible, but headframe prevented that.​",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1278,476810HP+C Neuropixel style,Nicole Hancock,7/15/2019,Peter Groblewski,visual behavior,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,7/15/2019,7/19/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Sst-IRES-Cre;Ai32,476810,Sst-IRES-Cre;Ai32-476810,02-004-67-1805,Male,5/31/2019,SWS 5,20.9,24.1,1.5,10,1.5,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,3.889,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,Mild,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,7/22/2019,,,,,,,,,,,,"​Surgery went well, no noted damage. 
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
"23 deg roll, 0 deg pitch",1279,476814HP+C Neuropixel style,Kat North,7/16/2019,Peter Groblewski,visual behavior,HP+C Neuropixel style,Ready for Feedback,102-02-004-10: BTV Observatory Visual Behavior,1805,7/15/2019,7/19/2019,Reverse (9pm to 9am),Yes,NeuropixelVisualBehaviorDevelopment,Brain Observatory Transgenic Characterization,Sst-IRES-Cre;Ai32,476814,Sst-IRES-Cre;Ai32-476814,02-004-69-1805,Male,5/31/2019,SWS 1,21,24,1,15,1.75,Neuropixel-style headframe (0160-100-10/0160-200-36),Left,4.229,Select if applicable...,2.8,1.3,5mm,Yes,Select...,,,Select...,,,,Select...,,,,Select...,,,,Select...,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Select...,,Vivarium -80,Select...,,,,Select...,,,,,Complete,None,None,Central,None,None,None,Select...,Select...,Select...,Select...,Select...,Select...,,Select...,,,Select...,Select...,Select...,Select...,Select...,,,,7/23/2019,,,,,,,,,,,,"​Surgery went well
",Item,BrainScience/IVS/Neurosurgery-Behavior/Lists/SWR 2018Present
